HOST:	MGLab_19	MGLab_23	MGLab_24	MGLab_34	MGLab_35	MGLab_36	MGLab_8	MGLab_9
GUESTS:	g1	g2
RANK	FILE	NAME	CATEGORY	MUE	KENDALL	PEARSON	ANGULAR	INTERCEPT	LIN	MGLab_19-g1	MGLab_19-g2	MGLab_23-g1	MGLab_23-g2	MGLab_24-g1	MGLab_24-g2	MGLab_34-g1	MGLab_34-g2	MGLab_35-g1	MGLab_35-g2	MGLab_36-g1	MGLab_36-g2	MGLab_8-g1	MGLab_8-g2	MGLab_9-g1	MGLab_9-g2
1	ourdock.txt	autodock4_default	Docking	1.60242584963522	0.400000000000009	0.432198704691995	0.54932278019786	-3.36007554573794	0.173980330876348	-4.37	-5.97	-4.39	-7.39129193159007	-4.51	-6.35	-4.26	-5.91	-4.54852090560887	-6.32401326694473	-4.24	-6.75	-4.88097764236162	-6.72852090560887	-4.91253075326709	-6.58
2	CD_MPIBPC_CHARMM-1.txt	Noneq/Alchemy/CGENFF	Alchemical	1.43875	0.0999999999999874	0.212610415372875	0.2615059212089	-4.00783873047471	0.120704345356433	-5.10	-4.58	-5.43	-5.44	-5.48	-5.25	-5.17	-5.72	-5.12	-5.55	-6.18	-5.18	-1.75	-3.48	-5.24	-5.81
3	CD_MGLab_FSDAM_ranked.txt	FSDAM/GAFF2/OPC3_ranked	Alchemical 	1.0375	0.208333333333362	0.121371890977681	0.123581907228738	-4.05444922011967	0.0947315851717236	-3.9	-5.2	-3.7	-5.9	-3.5	-4.2	-3.8	-4.5	-4.1	-4.3	-4.5	-6.1	-3.7	-5.5	-3.9	-5.8
4	CD_MPIBPC_consensus-1.txt	Noneq/Alchemy/consensus	Alchemical	1.475625	-0.0166666666666615	0.133786894196187	0.15869179174537	-4.49783845901528	0.0701482201828442	-4.96	-4.92	-5.58	-5.91	-5.78	-6.01	-5.33	-5.37	-4.86	-5.36	-6.17	-6.13	-1.98	-4.27	-4.67	-4.59
5	CD_MPIBPC_GAFF-1.txt	Noneq/Alchemy/GAFF	Alchemical	1.663125	0.01666666666664	0.0389848928644905	0.0568266392191019	-4.98350387395233	0.0204420754966484	-4.82	-5.26	-5.72	-6.38	-6.09	-6.76	-5.49	-5.03	-4.59	-5.17	-6.15	-7.09	-2.21	-5.05	-4.10	-3.38
6	CD_submission.txt	AM1-BCC/MD/GAFF/TIP4PEW/QMMM	Alchemical	33.340625	0.258333333333337	0.292857762060924	12.9356403614934	14.1415592629875	0.00742923320257639	-20.73	-7.12	-27.10	-127.97	-26.43	-26.75	-19.99	-7.62	-21.04	-64.76	-0.00	-0.00	-24.73	-108.57	-24.52	-75.40
7	CD_MGLab_FSDAM_JB.txt	FSDAM/GAFF2/OPC3_JB	Alchemical 	1.5125	0.133333333333312	-0.051481849180199	-0.0789494519912679	-4.98359367047087	-0.0375789265132787	-4.2	-5.2	-3.8	-7.3	-4.3	-4.9	-3.0	-4.8	-2.5	-3.7	-4.2	-6.7	-4.4	-6.7	-4.0	-5.1
8	CD_REF.txt	Docking/GAFF/YANK_REF	Alchemical	2.25325	-0.283333333333357	-0.414439361202068	-1.11437717026162	-8.77532176426009	-0.258924282444567	-6.431	-8.628	-4.450	-3.176	-4.932	-2.946	-4.324	-1.605	-4.377	-2.705	-4.803	-1.897	-6.559	-9.077	-3.488	-1.314
