HOST:	clip
GUESTS:	g1	g10	g11	g12	g15	g16	g17	g18	g19	g2	g3	g5	g6	g7	g8	g9
RANK	FILE	NAME	CATEGORY	MUE	KENDALL	PEARSON	ANGULAR	INTERCEPT	LIN	clip-g1	clip-g10	clip-g11	clip-g12	clip-g15	clip-g16	clip-g17	clip-g18	clip-g19	clip-g2	clip-g3	clip-g5	clip-g6	clip-g7	clip-g8	clip-g9
1	Clip-ponder-3.txt	AMOEBA/DDM/BAR/ALT-2	Alchemical	1.3925	0.599999999999957	0.790989935773168	1.13535918494645	1.63102274664714	0.731690355051076	-5.96	-8.89	-7.10	-9.50	-12.00	-10.55	-9.51	-13.21	-12.51	-9.26	-10.49	-10.28	-8.31	-4.37	-7.60	-4.94
2	Clip-ponder-2.txt	AMOEBA/DDM/BAR-ALT1	Alchemical	1.55875	0.666666666666625	0.836452813883555	1.27811206986172	3.31022233600152	0.730922481846085	-4.49	-8.89	-7.10	-9.50	-12.00	-10.55	-9.51	-13.21	-12.51	-6.58	-9.22	-10.28	-8.31	-4.37	-7.60	-4.94
3	Clip-ponder.txt	AMOEBA/DDM/BAR	Alchemical	2.12375	0.466666666666668	0.710420131910238	1.24958103752987	4.02856594240552	0.496024694516781	-5.96	-7.13	-4.26	-9.20	-11.74	-10.45	-9.42	-10.37	-9.67	-9.26	-10.49	-10.16	-5.47	-1.51	-6.09	-2.10
4	ourdock.txt	autodock4_default	Docking	1.81754602817365	0.283333333333329	0.409916592747841	0.341310016717214	-4.83774621329048	0.297152815431004	-7.34	-9.22	-5.77	-6.82087586495511	-7.78	-10.2521905633429	-10.8881577295845	-6.87	-7.19	-8.11121713018299	-8.63794163245078	-9.77955115126035	-6.16087586495511	-7.97154638751018	-9.11	-6.78
5	Clip_submission_wUhW7Ex.txt	FSDAM/GAFF2/OPC3	Alchemical 	2.23875	0.233333333333334	0.343174891841235	0.601642582389015	-4.16932615136715	0.291017929142325	-6.8	-14.4	-5.7	-6.5	-10.4	-9.2	-12.7	-3.6	-12.9	-8.8	-13.3	-12.6	-9.6	-8.5	-12.9	-9.2
6	Clip_REF_2.txt	Docking/GAFF/YANK_REF_2	Alchemical	6.629125	0.116666666666667	0.341175590129486	0.572709221332772	2.61686458831473	0.0621250196968106	3.741	-1.826	-4.417	-3.581	-1.543	1.816	-3.436	-2.119	-9.098	-1.962	-7.396	-1.715	-4.228	-3.039	-2.833	-2.538
7	Clip_REF.txt	Docking/GAFF/YANK_REF	Alchemical	6.5733125	0.116666666666666	0.332567166185304	0.565839276432055	2.49654330569699	0.0619445389442758	3.741	-1.826	-5.310	-3.581	-1.543	1.816	-3.436	-2.119	-9.098	-1.962	-7.396	-1.715	-4.228	-3.039	-2.833	-2.538
8	Clip_dserillon.txt	MD/DOCKING/GAFF/xtb-GNF/	Mixed	4.5125	-0.0499999999999984	-0.0542611987165854	-0.1012371348373	-6.11311669612225	-0.0194192724214028	-5.5	-8.4	-1.3	-2.9	-6.7	-7.1	-6.4	-0.1	-0.1	-8.3	-5.4	-8.3	-2.5	-6.1	-11.5	-2.0
